fiscal_year,program_area_name,organization_type,award_status,cnt_award_status,state_code,state_name
2006,Small Business Innovation Research Program,Private For-Profit,awarded,3,AR,ARKANSAS
2006,Small Business Innovation Research Program,Private For-Profit,awarded,1,AZ,ARIZONA
2006,Small Business Innovation Research Program,Private For-Profit,awarded,7,CA,CALIFORNIA
2006,Small Business Innovation Research Program,Private For-Profit,awarded,2,CO,COLORADO
2006,Small Business Innovation Research Program,Private For-Profit,awarded,1,DE,DELAWARE
2006,Small Business Innovation Research Program,Private For-Profit,awarded,2,FL,FLORIDA
2006,Small Business Innovation Research Program,Private For-Profit,awarded,3,IA,IOWA
2006,Small Business Innovation Research Program,Private For-Profit,awarded,3,IL,ILLINOIS
2006,Small Business Innovation Research Program,Private For-Profit,awarded,1,IN,INDIANA
2006,Small Business Innovation Research Program,Private For-Profit,awarded,1,LA,LOUISIANA
2006,Small Business Innovation Research Program,Private For-Profit,awarded,3,MA,MASSACHUSETTS
2006,Small Business Innovation Research Program,Private For-Profit,awarded,1,MD,MARYLAND
2006,Small Business Innovation Research Program,Private For-Profit,awarded,3,ME,MAINE
2006,Small Business Innovation Research Program,Private For-Profit,awarded,2,MI,MICHIGAN
2006,Small Business Innovation Research Program,Private For-Profit,awarded,2,MO,MISSOURI
2006,Small Business Innovation Research Program,Private For-Profit,awarded,1,MS,MISSISSIPPI
2006,Small Business Innovation Research Program,Private For-Profit,awarded,5,MT,MONTANA
2006,Small Business Innovation Research Program,Private For-Profit,awarded,2,NC,NORTH CAROLINA
2006,Small Business Innovation Research Program,Private For-Profit,awarded,2,ND,NORTH DAKOTA
2006,Small Business Innovation Research Program,Private For-Profit,awarded,1,NE,NEBRASKA
2006,Small Business Innovation Research Program,Private For-Profit,awarded,3,NY,NEW YORK
2006,Small Business Innovation Research Program,Private For-Profit,awarded,5,OH,OHIO
2006,Small Business Innovation Research Program,Private For-Profit,awarded,2,OK,OKLAHOMA
2006,Small Business Innovation Research Program,Private For-Profit,awarded,4,PA,PENNSYLVANIA
2006,Small Business Innovation Research Program,Private For-Profit,awarded,1,PR,PUERTO RICO
2006,Small Business Innovation Research Program,Private For-Profit,awarded,2,SD,SOUTH DAKOTA
2006,Small Business Innovation Research Program,Private For-Profit,awarded,1,TN,TENNESSEE
2006,Small Business Innovation Research Program,Private For-Profit,awarded,4,TX,TEXAS
2006,Small Business Innovation Research Program,Private For-Profit,awarded,1,UT,UTAH
2006,Small Business Innovation Research Program,Private For-Profit,awarded,1,VA,VIRGINIA
2006,Small Business Innovation Research Program,Private For-Profit,awarded,1,VT,VERMONT
2006,Small Business Innovation Research Program,Private For-Profit,awarded,4,WA,WASHINGTON
2006,Small Business Innovation Research Program,Private For-Profit,awarded,5,WI,WISCONSIN
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,1,AK,ALASKA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,5,AL,ALABAMA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,4,AR,ARKANSAS
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,1,AZ,ARIZONA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,21,CA,CALIFORNIA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,19,CO,COLORADO
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,5,CT,CONNECTICUT
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,3,DE,DELAWARE
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,3,FL,FLORIDA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,2,HI,HAWAII
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,3,IL,ILLINOIS
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,4,IN,INDIANA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,3,KS,KANSAS
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,2,KY,KENTUCKY
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,1,LA,LOUISIANA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,17,MA,MASSACHUSETTS
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,5,MD,MARYLAND
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,3,ME,MAINE
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,7,MI,MICHIGAN
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,3,MN,MINNESOTA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,1,MO,MISSOURI
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,1,MS,MISSISSIPPI
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,3,MT,MONTANA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,3,NC,NORTH CAROLINA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,1,ND,NORTH DAKOTA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,1,NE,NEBRASKA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,3,NH,NEW HAMPSHIRE
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,1,NJ,NEW JERSEY
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,4,NM,NEW MEXICO
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,1,NV,NEVADA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,10,NY,NEW YORK
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,4,OH,OHIO
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,1,OK,OKLAHOMA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,3,PA,PENNSYLVANIA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,1,SD,SOUTH DAKOTA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,1,TN,TENNESSEE
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,10,TX,TEXAS
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,2,UT,UTAH
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,9,VA,VIRGINIA
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,2,VT,VERMONT
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,6,WA,WASHINGTON
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,6,WI,WISCONSIN
2006,Small Business Innovation Research Program,Private For-Profit,not-awarded,3,WY,WYOMING
2006,Small Business Innovation Research Program,USDA Agency,not-awarded,1,FL,FLORIDA
2006,Small Business Innovation Research Program,USDA Agency,not-awarded,1,GA,GEORGIA
2006,Small Business Innovation Research Program,USDA Agency,not-awarded,1,WA,WASHINGTON
2007,1890 Capacity Building Grants Program,1862 Land-Grant University,awarded,1,TX,TEXAS
2007,1890 Capacity Building Grants Program,1862 Land-Grant University,not-awarded,3,TX,TEXAS
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),awarded,4,AL,ALABAMA
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),awarded,2,AR,ARKANSAS
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),awarded,3,DE,DELAWARE
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),awarded,3,FL,FLORIDA
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),awarded,3,GA,GEORGIA
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),awarded,3,KY,KENTUCKY
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),awarded,2,LA,LOUISIANA
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),awarded,4,MD,MARYLAND
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),awarded,1,MO,MISSOURI
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),awarded,3,MS,MISSISSIPPI
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),awarded,3,NC,NORTH CAROLINA
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),awarded,3,OK,OKLAHOMA
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),awarded,3,TN,TENNESSEE
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),awarded,2,TX,TEXAS
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),awarded,3,VA,VIRGINIA
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),awarded,3,WV,WEST VIRGINIA
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,38,AL,ALABAMA
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,6,AR,ARKANSAS
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,5,DE,DELAWARE
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,22,FL,FLORIDA
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,9,GA,GEORGIA
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,7,KY,KENTUCKY
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,4,LA,LOUISIANA
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,8,MD,MARYLAND
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,3,MO,MISSOURI
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,6,MS,MISSISSIPPI
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,9,NC,NORTH CAROLINA
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,7,OK,OKLAHOMA
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,6,SC,SOUTH CAROLINA
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,16,TN,TENNESSEE
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,2,TX,TEXAS
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,5,VA,VIRGINIA
2007,1890 Capacity Building Grants Program,1890 Land-Grant University (incl Tuskegee),not-awarded,2,WV,WEST VIRGINIA
2007,1890 Capacity Building Grants Program,"State, Local, or Tribal Government",not-awarded,1,GA,GEORGIA
2007,Agriculture Risk Protection Act,1862 Land-Grant University,awarded,1,DE,DELAWARE
2007,Agriculture Risk Protection Act,1862 Land-Grant University,awarded,1,MN,MINNESOTA
2007,Agriculture Risk Protection Act,1862 Land-Grant University,awarded,1,NE,NEBRASKA
